pmcid,pmid,citation_count,doi,publication_date,journal,volume,issue,pages,figure_count,table_count,reference_count,keyword_count,funding_sources
PMC10487739,37686374,2,10.3390/ijms241713569,2023 Sep 1,International Journal of Molecular Sciences,24,17,13569,6,2,0,15,NASA
PMC9576569,36267920,1,10.1016/j.isci.2022.105213,2022 Sep 24,iScience,25,10,105213,5,1,0,0,
PMC6204554,30405430,1,10.3389/fphys.2018.01469,2018 Oct 22,Frontiers in Physiology,9,,1469,11,2,0,15,
PMC7787258,33242407,1,10.1016/j.celrep.2020.108445,2020 Nov 25,Cell reports,33,10,108445,4,4,0,0,
PMC6889863,31850027,1,10.3389/fpls.2019.01529,2019 Nov 26,Frontiers in Plant Science,10,,1529,5,0,0,15,BES-2013; AYA2012; BES-2016; ESA; LSRA2009; NASA; ESP2015
PMC5748516,27507239,8600,10.1007/s00425-016-2581-8,2016 Aug 9,Planta,244,6,1201,9,3,0,15,
PMC11166909,38862494,4,10.1038/s41467-024-48625-2,2024 Jun 11,Nature Communications,15,,4773,5,0,0,15,
PMC4964660,27467019,8600,10.1038/srep29901,2016 Jul 28,Scientific Reports,6,,29901,5,3,0,15,
PMC3092937,21279680,5,10.1007/s10528-010-9411-7,2011 Jan 30,Biochemical Genetics,49,5,329,7,5,0,15,
PMC3289768,22206349,1,10.1021/nn203703j,2012 Jan 6,ACS Nano,6,2,1134,6,1,0,15,
PMC7943786,33750813,8600,10.1038/s41526-021-00136-w,2021 Mar 9,NPJ Microgravity,7,,9,2,0,0,15,NASA
PMC3838407,24396537,8600,10.1063/1.4829777,2013 Nov 6,Biomicrofluidics,7,6,064103,7,0,0,15,
PMC12034939,40297318,2025,10.1002/ece3.71371,2025 Apr 28,Ecology and Evolution,15,4,e71371,2,0,0,15,
PMC5821596,28827451,8600,10.3732/ajb.1700079,2017 Aug,American journal of botany,104,8,1219,4,6,0,0,
PMC11166662,38862509,4,10.1038/s41467-024-48806-z,2024 Jun 11,Nature Communications,15,,4964,9,0,0,15,
PMC11487192,39420071,89,10.1038/s42003-024-07042-3,2024 Oct 17,Communications Biology,7,,1342,10,0,0,15,
PMC3133089,21398541,1625,10.1128/JB.01335-10,2011 May,Journal of Bacteriology,193,9,2208,9,1,0,15,
PMC11324864,39143086,48,10.1038/s41526-024-00424-1,2024 Aug 14,NPJ Microgravity,10,,85,9,0,0,15,
PMC11022651,38634106,4,10.1093/pcmedi/pbae007,2024 Apr 8,Precision Clinical Medicine,7,1,pbae007,4,0,0,0,
PMC12040010,40295272,50,10.1097/MD.0000000000042125,2025 Apr 25,Medicine,104,17,e42125,3,3,0,0,
PMC5454470,28228581,8600,10.1152/jn.00240.2016,2017 Feb 22,Journal of Neurophysiology,117,6,2163,9,3,0,15,
PMC5578834,28860236,8600,10.1128/genomeA.00696-17,2017 Aug 31,Genome Announcements,5,35,e00696-17,0,0,0,15,
PMC6689164,31399081,16,10.1186/s40168-019-0724-4,2019 Aug 9,Microbiome,7,,113,4,0,0,0,NASA
PMC11271499,39030182,2,10.1038/s41526-024-00419-y,2024 Jul 19,NPJ Microgravity,10,,78,3,0,0,15,
PMC7382458,32709938,20,10.1038/s41598-020-69188-4,2020 Jul 24,Scientific Reports,10,,12399,5,2,0,15,
PMC5910807,29618610,8600,10.1073/pnas.1706754115,2018 Apr 4,Proceedings of the National Academy of Sciences of the United States of America,115,16,E3616,11,16,0,15,
PMC7118179,32241853,95,10.1128/MRA.00003-20,2020 Apr 2,Microbiology Resource Announcements,9,14,e00003-20,0,1,0,15,
PMC6952069,31629686,31,10.1016/j.cels.2019.09.004,2019 Oct 16,Cell systems,9,6,600,2,2,0,0,
PMC11126634,38789478,2000,10.1038/s41598-024-62191-z,2024 May 24,Scientific Reports,14,,11858,5,0,0,15,
PMC4618186,26149756,8600,10.1016/j.pbi.2015.05.016,2015 Jul 5,Current opinion in plant biology,27,,59,2,0,0,15,
PMC9695374,36362993,68,10.3390/life12111838,2022 Nov 9,Life,12,11,1838,7,0,0,15,NIH; NASA
PMC4631774,26232415,8600,10.1242/jeb.118729,2015 Oct,The Journal of Experimental Biology,218,19,3002,4,0,0,15,
PMC5389344,28402337,8600,10.1038/srep46325,2017 Apr 12,Scientific Reports,7,,46325,7,0,0,15,
PMC4042434,23954507,8600,10.1016/j.bone.2013.08.002,2013 Aug 14,Bone,57,1,164,4,2,0,15,
PMC4917201,26487675,9,10.1530/JOE-15-0280,2015 Oct 20,The Journal of endocrinology,227,3,129,4,2,0,15,
PMC4187166,25370197,8600,10.3390/life4020250,2014 May 26,Life : Open Access Journal,4,2,250,2,0,0,15,
PMC9487896,35788318,2,10.1093/glycob/cwac042,2022 Jul 5,Glycobiology,32,10,849,3,1,0,15,NIH; GM 1110
PMC9640571,36344513,2018,10.1038/s41526-022-00241-4,2022 Nov 7,NPJ Microgravity,8,,50,7,1,0,15,
PMC9410522,36013347,18,10.3390/life12081168,2022 Jul 31,Life,12,8,1168,5,0,0,15,NASA
PMC4462657,25016531,8600,10.1093/gerona/glu090,2014 Jul 11,The Journals of Gerontology Series A: Biological Sciences and Medical Sciences,70,5,533,7,0,0,15,AR054084; NASA
PMC3792163,24116253,8600,10.1371/annotation/e66bdc4e-2409-4582-b163-7bc182db275e,2013 Sep 27,PLoS ONE,8,9,10.1371/annotation/e66bdc4e-2409-4582-b163-7bc182db275e,0,0,0,0,
PMC4624184,26502721,8600,10.1186/s40168-015-0116-3,2015 Oct 27,Microbiome,3,,50,4,4,0,0,
PMC10846184,38230938,11,10.1128/spectrum.01144-23,2024 Jan 17,Microbiology Spectrum,12,2,e01144-23,5,1,0,15,
PMC10813126,38247888,3,10.3390/bioengineering11010011,2023 Dec 22,Bioengineering,11,1,11,9,0,0,15,NIH; NASA
PMC9502502,36143436,5,10.3390/life12091399,2022 Sep 8,Life,12,9,1399,11,9,0,15,
PMC3012082,21206750,8600,10.1371/journal.pone.0015750,2010 Dec 29,PLoS ONE,5,12,e15750,5,0,0,15,
PMC7996555,33668919,8600,10.3390/genes12030337,2021 Feb 25,Genes,12,3,337,8,9,0,15,NASA
PMC3947616,24253789,8600,10.1097/BRS.0000000000000114,2014 Feb 1,Spine,39,3,243,6,2,0,0,
PMC5580210,28863784,8600,10.1186/s40168-017-0330-2,2017 Sep 1,Microbiome,5,,111,1,0,0,0,
PMC5865701,29581875,8600,10.18632/oncotarget.24461,2018 Feb 12,Oncotarget,9,18,14692,5,0,0,15,
PMC10386755,37513002,1996,10.3390/microorganisms11071830,2023 Jul 18,Microorganisms,11,7,1830,4,0,0,15,DEB-1441715; DEB-1441677; DEB-1441604
PMC4378170,25673778,8600,10.1104/pp.114.255943,2015 Feb 11,Plant Physiology,167,4,1296,7,0,0,15,
PMC6124165,30283882,1,10.1002/jbm4.10012,2017 Oct 9,JBMR Plus,1,2,66,3,2,0,15,
PMC3457586,22851751,2,10.1128/IAI.00670-12,2012 Oct,Infection and Immunity,80,10,3576,9,1,0,15,
PMC10370681,37494371,4,10.1371/journal.pone.0288290,2023 Jul 26,PLOS ONE,18,7,e0288290,5,0,0,15,
PMC9549344,32645312,89,10.1016/j.jmb.2020.06.024,2020 Jul 6,Journal of molecular biology,432,17,4799,10,1,0,15,
PMC11046949,38664855,71,10.1186/s12985-024-02374-2,2024 Apr 25,Virology Journal,21,,95,6,0,0,0,
PMC11167097,38862512,2021,10.1038/s41467-024-48633-2,2024 Jun 11,Nature Communications,15,,4780,0,0,0,0,
PMC3503204,23112188,8600,10.1073/pnas.1213931109,2012 Oct 29,Proceedings of the National Academy of Sciences of the United States of America,109,46,19015,4,0,0,15,
PMC9098231,30539259,12001,10.1007/s00253-018-9525-0,2018 Dec 12,Applied microbiology and biotechnology,103,3,1363,3,3,0,15,
PMC3177255,21521696,41,10.1104/pp.110.168963,2011 Apr 26,Plant Physiology,156,2,514,8,1,0,15,
PMC10422843,37568226,2020,10.1186/s43008-023-00119-4,2023 Aug 11,IMA Fungus,14,,15,7,0,0,15,
PMC3747666,23976804,8600,10.1016/j.actaastro.2012.04.003,2012 Apr 23,Acta astronautica,92,1,89,7,1,0,15,
PMC7940393,33686090,8600,10.1038/s41526-021-00138-8,2021 Mar 8,NPJ Microgravity,7,,8,7,0,0,15,
PMC9784906,36557243,1,10.3390/metabo12121205,2022 Dec 1,Metabolites,12,12,1205,4,0,0,15,PRIN 2017; GGP19146; CN00000041; RF-2019
PMC9865768,36678491,36,10.3390/pathogens12010143,2023 Jan 14,Pathogens,12,1,143,5,0,0,15,
PMC10264680,37324680,70,10.3389/fpls.2023.1171957,2023 May 31,Frontiers in Plant Science,14,,1171957,4,2,0,15,DMS-1555072; DMS-1821233; DMS-1736364
PMC10789781,38225252,8,10.1038/s41598-024-51756-7,2024 Jan 15,Scientific Reports,14,,1324,4,0,0,15,
PMC9146534,35630155,50,10.3390/mi13050688,2022 Apr 28,Micromachines,13,5,688,6,1,0,15,
PMC7733874,33336201,2020,10.1016/j.patter.2020.100148,2020 Nov 25,Patterns,1,9,100148,2,1,0,0,
PMC8113475,33976230,8600,10.1038/s41526-021-00143-x,2021 May 11,NPJ Microgravity,7,,15,6,0,0,15,
PMC8886715,35252734,1,10.1021/acsomega.2c00113,2022 Feb 22,ACS Omega,7,9,8150,4,6,0,15,
PMC8099722,33995915,8600,10.1016/j.csbj.2021.03.040,2021 Apr 23,Computational and Structural Biotechnology Journal,19,,2223,6,0,0,15,RGPIN-2017
PMC6387434,30717456,57,10.3390/ijms20030661,2019 Feb 3,International Journal of Molecular Sciences,20,3,661,7,1,0,15,NASA
PMC11451251,39363369,20,10.1186/s40168-024-01916-8,2024 Oct 4,Microbiome,12,,190,7,1,0,0,
PMC3856860,24056176,8600,10.1016/j.bone.2013.09.003,2013 Sep 19,Bone,57,2,10.1016/j.bone.2013.09.003,5,4,0,15,
PMC7828077,33445483,8600,10.3390/life11010042,2021 Jan 12,Life,11,1,42,4,1,0,15,NSF; NASA
PMC4647464,26516084,8600,10.1261/rna.053934.115,2015 Dec,RNA,21,12,2103,7,0,0,15,
PMC4902601,27208234,8600,10.1104/pp.16.00173,2016 Apr 4,Plant Physiology,171,2,833,12,1,0,15,
PMC10390562,37524737,1,10.1038/s41526-023-00295-y,2023 Jul 31,NPJ Microgravity,9,,59,1,0,0,15,
PMC9445043,36064795,1,10.1038/s41526-022-00226-3,2022 Sep 6,NPJ Microgravity,8,,38,5,0,0,15,
PMC7555797,32942630,3,10.3390/ijms21186762,2020 Sep 15,International Journal of Molecular Sciences,21,18,6762,4,1,0,15,
PMC8537831,34685431,16,10.3390/life11101060,2021 Oct 9,Life,11,10,1060,12,4,0,15,NASA
PMC11748630,39824847,2025,10.1038/s41598-024-81394-y,2025 Jan 18,Scientific Reports,15,,2363,7,10,0,15,
PMC3869332,24285647,8600,10.1128/genomeA.00985-13,2013 Nov 27,Genome Announcements,1,6,e00985-13,0,0,0,13,
PMC6426649,30944876,3,10.1128/mSystems.00345-18,2019 Mar 19,mSystems,4,2,e00345-18,7,1,0,15,
PMC9139491,35634164,1,10.3389/fphys.2022.893025,2022 May 13,Frontiers in Physiology,13,,893025,3,1,0,15,GM103652; NASA
PMC4750446,26867002,8600,10.1038/srep21343,2016 Feb 11,Scientific Reports,6,,21343,7,2,0,15,
PMC6529585,31156574,8600,10.3389/fmicb.2019.01013,2019 May 15,Frontiers in Microbiology,10,,1013,6,9,0,15,
PMC11988870,40243850,3,10.3390/ijms26073058,2025 Mar 27,International Journal of Molecular Sciences,26,7,3058,4,1,0,15,
PMC12031868,40278861,1,10.1007/s00221-025-07090-z,2025 Apr 25,Experimental Brain Research,243,5,127,4,1,0,15,
PMC9862956,36676149,3,10.3390/life13010200,2023 Jan 10,Life,13,1,200,6,0,0,15,OD010440; NIH; NASA
PMC5515514,28725730,8600,10.1038/npjmgrav.2016.16,2016 Apr 28,NPJ Microgravity,2,,16016,4,0,0,15,
PMC11747068,39833543,3,10.1007/s00018-024-05572-x,2025 Jan 21,Cellular and Molecular Life Sciences: CMLS,82,1,50,7,0,0,0,
PMC4187989,25070093,8600,10.1128/AAC.03683-14,2014 Oct,Antimicrobial Agents and Chemotherapy,58,10,5964,7,1,0,15,
PMC10432549,37587131,316,10.1038/s41526-023-00316-w,2023 Aug 16,NPJ Microgravity,9,,66,9,1,0,15,
PMC8217198,33892174,8600,10.1016/j.bone.2021.115970,2021 Apr 21,Bone,149,,115970,3,0,0,15,
PMC5201052,28034853,8600,10.1128/genomeA.01263-16,2016 Dec 29,Genome Announcements,4,6,e01263-16,0,1,0,15,
PMC3911009,24123749,8600,10.1128/AEM.03136-13,2014 Jan,Applied and Environmental Microbiology,80,1,104,4,1,0,15,
PMC11998595,40236754,1,10.3389/ti.2025.14565,2025 Apr 1,Transplant International,38,,14565,1,0,0,15,
PMC4135744,24878601,8600,10.1128/AEM.00885-14,2014 Aug,Applied and Environmental Microbiology,80,16,4788,3,2,0,15,
PMC10793275,38038463,5,10.1128/MRA.00345-23,2023 Dec 1,Microbiology Resource Announcements,13,1,e00345-23,1,1,0,15,
PMC4110898,23791778,8600,10.1016/j.bone.2013.06.009,2013 Jun 20,Bone,56,2,290,4,0,0,15,
PMC7870178,33242417,8600,10.1016/j.cell.2020.11.002,2020 Nov 25,Cell,183,5,1185,7,2,0,0,
PMC7055474,32174893,20,10.3389/fmicb.2020.00167,2020 Feb 25,Frontiers in Microbiology,11,,167,5,2,0,15,
PMC7756143,33376967,1,10.1016/j.isci.2020.101733,2020 Nov 25,iScience,23,12,101733,7,3,0,0,
PMC5817088,29491852,8600,10.3389/fmicb.2018.00192,2018 Feb 14,Frontiers in Microbiology,9,,192,5,6,0,15,
PMC4321547,25403917,8600,10.1093/jxb/eru444,2014 Nov 16,Journal of Experimental Botany,66,3,853,6,1,0,15,
PMC11579474,39567640,1,10.1038/s41598-024-79315-0,2024 Nov 20,Scientific Reports,14,,28774,5,0,0,15,
PMC7303416,32554796,2020,10.1128/MRA.00578-20,2020 Jun 18,Microbiology Resource Announcements,9,25,e00578-20,0,1,0,15,
PMC7414185,32690691,2,10.1073/pnas.2004183117,2020 Jul 20,Proceedings of the National Academy of Sciences of the United States of America,117,31,18849,6,0,0,15,
PMC5397022,28423006,8600,10.1371/journal.pone.0175943,2017 Apr 19,PLoS ONE,12,4,e0175943,2,1,0,15,NASA
PMC4985531,27579023,8600,10.3389/fendo.2016.00110,2016 Aug 16,Frontiers in Endocrinology,7,,110,3,2,0,15,NIH; AR060913; NASA; USDA 38420
PMC6753329,31572207,30,10.3389/fphys.2019.01147,2019 Sep 13,Frontiers in Physiology,10,,1147,10,0,0,15,
PMC9583032,36277820,2022,10.1016/j.patter.2022.100550,2022 Jul 30,Patterns,3,10,100550,4,2,0,0,
PMC11166967,38862781,50,10.1038/s43856-024-00532-9,2024 Jun 11,Communications Medicine,4,,106,9,0,0,0,
PMC3639165,23658630,8600,10.1371/journal.pone.0062437,2013 Apr 29,PLoS ONE,8,4,e62437,4,2,0,15,NASA
PMC7317102,32586865,2020,10.1128/MRA.00504-20,2020 Jun 25,Microbiology Resource Announcements,9,26,e00504-20,0,1,0,15,
PMC2991213,20673022,8600,10.1089/ten.tea.2010.0190,2010 Sep 3,Tissue Engineering. Part A,16,12,3709,4,3,0,15,
PMC11127935,38796644,2024,10.1038/s42003-024-06336-w,2024 May 25,Communications Biology,7,,633,6,0,0,15,
PMC11166943,38862505,2024,10.1038/s41467-024-47237-0,2024 Jun 11,Nature Communications,15,,4952,3,0,0,15,
PMC4490751,25734366,8600,10.1089/jir.2014.0152,2015 Jun 1,Journal of Interferon & Cytokine Research,35,6,480,5,0,0,15,
PMC8875396,35205919,10,10.3390/jof8020165,2022 Feb 8,Journal of Fungi,8,2,165,5,3,0,15,NASA; OPP1151054
PMC9605285,36294919,2013,10.3390/life12101484,2022 Sep 24,Life,12,10,1484,2,0,0,15,RTI2018; ESP2015; ESA; NASA
PMC7285199,32443669,1,10.3390/nu12051482,2020 May 20,Nutrients,12,5,1482,5,0,0,15,AT 8879; AG051995; NIH; NASA
PMC3509447,23213450,2,10.1242/bio.2012687,2012 Apr 30,Biology Open,1,6,570,5,0,0,0,
PMC3251573,22238616,8600,10.1371/journal.pone.0029481,2012 Jan 4,PLoS ONE,7,1,e29481,6,3,0,15,
PMC8412175,34484810,1,10.3390/app9194042,2019 Sep 27,"Applied sciences (Basel, Switzerland)",9,19,4042,6,0,0,15,
PMC7415877,32267726,20,10.1089/ast.2019.2181,2020 Aug 6,Astrobiology,20,8,935,8,2,0,15,
PMC5488280,26852281,8600,10.1002/jbmr.2807,2016 Mar 22,Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research,31,7,1356,8,0,0,15,
PMC9964234,36836933,10,10.3390/life13020576,2023 Feb 18,Life,13,2,576,2,5,0,15,
PMC7029147,32071276,1,10.1128/mBio.03415-19,2020 Feb 18,mBio,11,1,e03415-19,6,0,0,15,
PMC5421618,27189604,8600,10.1007/s00198-016-3634-3,2016 May 17,Osteoporosis international : a journal established as result of cooperation between the European Foundation for Osteoporosis and the National Osteoporosis Foundation of the USA,27,10,3091,4,1,0,0,
PMC4309301,25654107,8600,10.1155/2015/475935,2015 Jan 13,BioMed Research International,2015,,475935,7,3,0,15,
PMC2915878,20647369,4,10.1242/jcs.066589,2010 Jul 20,Journal of Cell Science,123,16,2763,7,0,0,15,
PMC8400407,34440593,57,10.3390/life11080849,2021 Aug 19,Life,11,8,849,5,1,0,15,NASA
PMC10751425,37722921,8600,10.1002/jcsm.13335,2023 Sep 18,"Journal of Cachexia, Sarcopenia and Muscle",14,6,2613,5,0,0,0,
PMC9023564,35449136,2022,10.1038/s41467-022-29694-7,2022 Apr 21,Nature Communications,13,,2172,5,0,0,15,
PMC10831389,38314043,120,10.1016/j.smhs.2023.09.002,2023 Sep 12,Sports Medicine and Health Science,5,4,319,5,0,0,15,
PMC5491145,28662188,8600,10.1371/journal.pone.0180186,2017 Jun 29,PLoS ONE,12,6,e0180186,7,0,0,15,GA-2013
PMC4052902,24966862,8600,10.3389/fpls.2014.00267,2014 Jun 11,Frontiers in Plant Science,5,,267,6,2,0,15,
PMC10410709,37523525,2,10.1073/pnas.2216141120,2023 Jul 31,Proceedings of the National Academy of Sciences of the United States of America,120,32,e2216141120,6,1,0,15,
PMC7358545,32733502,1,10.3389/fpls.2020.00910,2020 Jul 7,Frontiers in Plant Science,11,,910,9,0,0,15,
PMC7987364,33325797,8600,10.1089/ast.2020.2313,2021 Mar 10,Astrobiology,21,3,367,7,0,0,15,
PMC8133610,33793939,8600,10.1093/plphys/kiaa098,2021 Jan 7,Plant Physiology,185,3,694,3,1,0,15,MCB2016177; IOS1557899
PMC5047659,27510974,8600,10.1242/dev.136234,2016 Sep 15,"Development (Cambridge, England)",143,18,3382,6,0,0,15,
PMC7393961,32732232,28,10.1128/MRA.00570-20,2020 Jul 30,Microbiology Resource Announcements,9,31,e00570-20,0,1,0,15,
PMC5288125,28057869,8600,10.1530/JOE-16-0484,2017 Jan 5,The Journal of endocrinology,232,3,461,4,4,0,15,
PMC8183356,33979621,8600,10.1016/j.celrep.2021.109098,2021 May 11,Cell reports,35,6,109098,6,1,0,0,
PMC9389742,35982413,2022,10.1186/s12866-022-02614-x,2022 Aug 18,BMC Microbiology,22,,202,8,2,0,0,MCS-006063; NASA
PMC3981873,24180465,8600,10.1111/tpj.12373,2013 Dec 3,The Plant journal : for cell and molecular biology,77,1,97,6,0,0,0,
PMC11484870,39414932,2024,10.1038/s42003-024-07022-7,2024 Oct 16,Communications Biology,7,,1339,0,0,0,0,
PMC6337482,30577490,135,10.3390/ijms20010007,2018 Dec 20,International Journal of Molecular Sciences,20,1,7,0,3,0,15,NASA
PMC5460239,28649636,8600,10.1038/s41526-017-0019-7,2017 May 10,NPJ Microgravity,3,,14,0,2,0,15,
PMC4385880,25593287,10,10.1152/japplphysiol.00976.2014,2015 Jan 15,Journal of Applied Physiology,118,7,830,5,2,0,15,
PMC4228280,24192060,8600,10.1186/1471-2180-13-241,2013 Nov 6,BMC Microbiology,13,,241,5,1,0,0,
PMC8493566,34612585,1979,10.14814/phy2.15042,2021 Oct 6,Physiological Reports,9,19,e15042,5,2,0,15,
PMC8441986,33242410,125,10.1016/j.celrep.2020.108448,2020 Nov 25,Cell reports,33,10,108448,7,1,0,0,
PMC5460135,28649626,8600,10.1038/s41526-016-0006-4,2017 Jan 12,NPJ Microgravity,3,,4,6,1,0,15,
PMC7516158,32972947,2020,10.1128/MRA.00942-20,2020 Sep 24,Microbiology Resource Announcements,9,39,e00942-20,0,1,0,15,
PMC5666799,28994728,8600,10.3390/ijms18102117,2017 Oct 10,International Journal of Molecular Sciences,18,10,2117,7,3,0,15,
PMC6348315,30705745,1,10.1093/aobpla/ply075,2018 Dec 15,AoB Plants,11,1,ply075,10,0,0,15,
PMC4340379,25411250,1,10.1074/jbc.M114.611780,2014 Nov 19,The Journal of Biological Chemistry,290,3,1308,10,1,0,15,
PMC7339929,32695017,2,10.3389/fphys.2020.00675,2020 Jun 30,Frontiers in Physiology,11,,675,5,2,0,15,
PMC6865368,31590144,57,10.1530/EC-19-0359,2019 Oct 7,Endocrine Connections,8,11,1455,4,2,0,15,DK112360; NIH; AR060913; NASA
PMC9111996,35592661,1,10.1016/j.heliyon.2022.e09379,2022 May 4,Heliyon,8,5,e09379,4,3,0,15,NASA
PMC8890767,35237922,19,10.1007/s11095-022-03191-4,2022 Mar 2,Pharmaceutical Research,39,3,541,7,1,0,0,
PMC3615599,23349454,8600,10.1152/japplphysiol.01358.2012,2013 Jan 24,Journal of Applied Physiology,114,6,808,5,4,0,15,
PMC6945029,31676506,300,10.1534/g3.119.400349,2019 Nov 1,G3: Genes|Genomes|Genetics,10,1,1,3,3,0,15,
PMC5677518,28112437,8600,10.1111/tpj.13492,2017 Mar 30,The Plant journal : for cell and molecular biology,90,4,698,3,0,0,0,
PMC6366624,30740592,3,,2018 Aug 30,FASEB bioAdvances,1,1,6,5,5,0,15,
PMC11831363,39960155,2024,10.1093/gbe/evaf018,2025 Feb 17,Genome Biology and Evolution,17,2,evaf018,0,0,0,0,
PMC3508904,22874845,4,10.4161/chan.20756,2012 Jul 1,Channels,6,4,255,5,0,0,15,
PMC9400218,35999570,1,10.1186/s40168-022-01332-w,2022 Aug 24,Microbiome,10,,134,5,0,0,0,NIH; ESA; NASA
PMC8450295,34585163,2021,10.1016/j.xpro.2021.100830,2021 Sep 14,STAR Protocols,2,4,100830,7,10,0,0,
PMC11659408,39702444,20,10.1038/s41526-024-00450-z,2024 Dec 19,NPJ Microgravity,10,,110,10,1,0,15,
PMC6137544,26085131,8600,10.1096/fj.15-275073,2015 Jun 17,The FASEB Journal,29,10,4122,6,0,0,15,
PMC7733933,33329661,50,10.3389/fpls.2020.597731,2020 Nov 30,Frontiers in Plant Science,11,,597731,11,0,0,15,
PMC6359015,30658467,2,10.3390/ijms20020390,2019 Jan 17,International Journal of Molecular Sciences,20,2,390,6,3,0,15,
PMC9031868,35454986,1,10.3390/life12040495,2022 Mar 28,Life,12,4,495,2,1,0,15,NASA 2020; NASA
PMC9706465,35972350,1,10.1093/plphys/kiac375,2022 Aug 16,Plant Physiology,190,4,2617,8,1,0,15,NSF; AI149201; MCB2016177; NASA
PMC3190158,21739498,2011,10.1002/pro.686,2011 Jul 7,Protein Science : A Publication of the Protein Society,20,9,1638,3,0,0,15,
PMC5805884,29439046,8600,10.1128/genomeA.01554-17,2018 Feb 8,Genome Announcements,6,6,e01554-17,0,1,0,15,
PMC5460236,28649627,8600,10.1038/s41526-016-0002-8,2017 Jan 12,NPJ Microgravity,3,,5,2,2,0,15,
PMC3502426,23185266,6,10.1371/journal.pone.0048564,2012 Nov 20,PLoS ONE,7,11,e48564,6,2,0,15,HL077224; RR023710; AG036816
PMC5552977,28798168,8600,10.1128/genomeA.00680-17,2017 Aug 10,Genome Announcements,5,32,e00680-17,0,1,0,15,
PMC5896955,29561262,8600,10.7554/eLife.33285,2018 Mar 21,eLife,7,,e33285,13,1,0,15,
PMC11953390,40155631,11,10.1038/s41598-025-94761-0,2025 Mar 28,Scientific Reports,15,,10779,6,0,0,15,
PMC9861679,36675054,1,10.3390/ijms24021540,2023 Jan 12,International Journal of Molecular Sciences,24,2,1540,6,1,0,15,
PMC3258067,21847020,5,10.4161/psb.6.9.16601,2011 Sep 1,Plant Signaling & Behavior,6,9,1365,1,1,0,15,
PMC10528075,37759473,26,10.3390/cells12182249,2023 Sep 11,Cells,12,18,2249,7,4,0,15,NIH; NASA
PMC8323809,34381960,8600,10.1039/d0na01007c,2021 Jan 18,Nanoscale Advances,3,6,1588,4,2,0,15,
PMC9693084,36431005,1,10.3390/life12111871,2022 Nov 13,Life,12,11,1871,7,1,0,15,NASA
PMC8211661,34140518,1,10.1038/s41526-021-00151-x,2021 Jun 17,NPJ Microgravity,7,,22,4,1,0,15,
PMC11166944,38862542,3,10.1038/s41467-024-48920-y,2024 Jun 11,Nature Communications,15,,4825,10,0,0,15,
PMC5045078,27380804,8600,10.1093/jrr/rrw051,2016 Sep 30,Journal of Radiation Research,57,5,477,10,2,0,15,
PMC4161659,24990938,8600,10.1530/JOE-14-0224,2014 Jul 2,The Journal of endocrinology,223,1,M1,6,1,0,15,
PMC4776492,26862170,8600,10.1073/pnas.1515741113,2016 Feb 9,Proceedings of the National Academy of Sciences of the United States of America,113,8,E1116,7,0,0,15,
PMC3868799,24169547,8600,10.1210/en.2013-1607,2013 Oct 29,Endocrinology,155,1,40,3,1,0,15,
PMC4642138,26617617,8600,10.3389/fpls.2015.00969,2015 Nov 12,Frontiers in Plant Science,6,,969,6,0,0,15,
PMC7171750,32312311,16,10.1186/s40168-020-00830-z,2020 Apr 20,Microbiome,8,,56,8,1,0,0,NASA
PMC3851762,24324620,8600,10.1371/journal.pone.0080677,2013 Dec 4,PLoS ONE,8,12,e80677,6,4,0,15,
PMC8104057,33795349,8600,10.1128/MRA.01398-20,2021 Apr 1,Microbiology Resource Announcements,10,13,e01398-20,0,1,0,15,
PMC11362537,39209868,29,10.1038/s41522-024-00545-1,2024 Aug 29,NPJ Biofilms and Microbiomes,10,,71,6,0,0,15,
PMC11701653,39558178,2021,10.1093/nar/gkae1116,2024 Nov 18,Nucleic Acids Research,53,D1,D1697,9,1,0,15,NASA
PMC10025027,36950655,100,10.1016/j.heliyon.2023.e14403,2023 Mar 8,Heliyon,9,3,e14403,8,7,0,15,
PMC4012541,24332390,8600,10.1016/j.biomaterials.2013.11.063,2013 Dec 12,Biomaterials,35,7,2162,6,3,0,15,
PMC5523082,28791090,8600,10.1039/c5sc01058f,2015 Jul 13,Chemical Science,6,10,5913,5,0,0,15,
PMC8430797,34502375,37,10.3390/ijms22179470,2021 Aug 31,International Journal of Molecular Sciences,22,17,9470,3,5,0,15,RTI2018; ESA; NASA
PMC5387210,28399805,8600,10.1186/s12870-017-1024-4,2017 Apr 11,BMC Plant Biology,17,,73,6,0,0,0,
PMC5736159,29270444,57,,2017 Jul,Gravitational and space research : publication of the American Society for Gravitational and Space Research,5,1,2,7,3,0,15,
PMC2824534,20034665,8600,10.1016/j.biomaterials.2009.11.092,2010 Jan 19,Biomaterials,31,8,2193,5,2,0,15,
PMC10889206,38396660,6,10.3390/ijms25041980,2024 Feb 6,International Journal of Molecular Sciences,25,4,1980,4,5,0,15,AR066811; AR060913
PMC10144393,37109532,316,10.3390/life13041001,2023 Apr 13,Life,13,4,1001,21,2,0,15,
PMC6638264,27392542,8600,10.1111/mpp.12458,2016 Sep 15,Molecular Plant Pathology,18,7,1012,9,0,0,0,
PMC6710492,31463387,50,10.1016/j.heliyon.2019.e02221,2019 Aug 20,Heliyon,5,8,e02221,6,4,0,15,
